"","reporterDesc","partnerDesc","primaryValue","flowCode"
"555","Azerbaijan","Brunei Darussalam",7916,"M"
"556","Azerbaijan","Bulgaria",35564570,"M"
"557","Azerbaijan","Myanmar",5957922,"M"
"558","Azerbaijan","Burundi",1940,"M"
"559","Azerbaijan","Belarus",455835748,"M"
"560","Azerbaijan","Cambodia",9344366,"M"
"561","Azerbaijan","Cameroon",60,"M"
"562","Azerbaijan","Canada",165509056,"M"
"563","Azerbaijan","Central African Rep.",74622,"M"
"564","Azerbaijan","Sri Lanka",66448605,"M"
"565","Azerbaijan","Chile",5934776,"M"
"566","Azerbaijan","China",3725054074,"M"
"567","Azerbaijan","Colombia",1820454,"M"
"568","Azerbaijan","Comoros",111800,"M"
"569","Azerbaijan","Cook Isds",979,"M"
"570","Azerbaijan","Costa Rica",3860505,"M"
"571","Azerbaijan","Croatia",5312136,"M"
"572","Azerbaijan","Cuba",748186,"M"
"573","Azerbaijan","Cyprus",3109809,"M"
"574","Azerbaijan","Czechia",64829454,"M"
"575","Azerbaijan","Denmark",51818401,"M"
"576","Azerbaijan","Dominica",26474,"M"
"577","Azerbaijan","Dominican Rep.",580132,"M"
"578","Azerbaijan","Ecuador",58621141,"M"
"579","Azerbaijan","El Salvador",145987,"M"
"580","Azerbaijan","Ethiopia",534294,"M"
"581","Azerbaijan","Eritrea",20072,"M"
"582","Azerbaijan","Estonia",6717860,"M"
"583","Azerbaijan","Finland",29939570,"M"
"584","Azerbaijan","France",235396941,"M"
"585","Azerbaijan","Georgia",128385510,"M"
"586","Azerbaijan","State of Palestine",952151,"M"
"587","Azerbaijan","Germany",824819316,"M"
"588","Azerbaijan","Ghana",63844,"M"
"589","Azerbaijan","Greece",57334390,"M"
"590","Azerbaijan","Greenland",1132173,"M"
"591","Azerbaijan","Guam",6130,"M"
"592","Azerbaijan","Guatemala",647863,"M"
"593","Azerbaijan","Guinea",156,"M"
"594","Azerbaijan","Haiti",34,"M"
"595","Azerbaijan","Honduras",77374,"M"
"596","Azerbaijan","China, Hong Kong SAR",3315258,"M"
"597","Azerbaijan","Hungary",54829766,"M"
"598","Azerbaijan","Iceland",4499575,"M"
"599","Azerbaijan","Indonesia",75757979,"M"
"600","Azerbaijan","Iran",633058127,"M"
"601","Azerbaijan","Iraq",578888,"M"
"602","Azerbaijan","Ireland",40487115,"M"
"603","Azerbaijan","Israel",31667879,"M"
"604","Azerbaijan","Italy",515802366,"M"
"605","Azerbaijan","Cote d'Ivoire",269362,"M"
"606","Azerbaijan","Jamaica",214408,"M"
